GameId,Date,HomeTeamId,AwayTeamId,HomePoints,AwayPoints,HomePossessions,AwayPossessions,HomeTeamAbbreviation,AwayTeamAbbreviation,season_type,season,winner_id,Name,Minutes,Rebounds,Turnovers,Points,FtPoints,Fouls,FG2A,Fg2Pct,FG3A,Fg3Pct,Assists,outcome,is_home,opponent_rate
0021200647,2013-01-26,1610612749,1610612744,109,102,98,100,MIL,GSW,Regular Season,2012-13,1610612749,Klay Thompson,38.6,3,1,19,,3,10,0.5,11,0.2727272727272727,1,0,0,0.4634146341463415
0021200666,2013-01-29,1610612739,1610612744,95,108,92,91,CLE,GSW,Regular Season,2012-13,1610612744,Klay Thompson,43.0833333333333,7,3,32,,2,16,0.4375,8,0.75,2,1,0,0.2926829268292683
0021200729,2013-02-06,1610612760,1610612744,119,98,103,104,OKC,GSW,Regular Season,2012-13,1610612760,Klay Thompson,33.65,3,2,19,,3,10,0.5,6,0.5,2,0,0,0.7317073170731707
0021200718,2013-02-05,1610612745,1610612744,140,109,97,98,HOU,GSW,Regular Season,2012-13,1610612745,Klay Thompson,19.9833333333333,1,2,6,,4,4,0.75,1,,1,0,0,0.5487804878048781
0021200742,2013-02-08,1610612763,1610612744,99,93,91,90,MEM,GSW,Regular Season,2012-13,1610612763,Klay Thompson,35.8166666666667,2,6,9,,1,9,0.3333333333333333,4,0.25,1,0,0,0.6829268292682927
0021300048,2013-11-04,1610612755,1610612744,90,110,108,108,PHI,GSW,Regular Season,2013-14,1610612744,Klay Thompson,29.6333333333333,3,1,15,1,3,4,0.25,8,0.5,2,1,0,0.23170731707317074
0021300019,2013-10-31,1610612746,1610612744,126,115,106,105,LAC,GSW,Regular Season,2013-14,1610612746,Klay Thompson,38.15,1,2,10,3,4,5,0.4,2,0.5,1,0,0,0.6951219512195121
0021300067,2013-11-06,1610612750,1610612744,93,106,105,106,MIN,GSW,Regular Season,2013-14,1610612744,Klay Thompson,37.2833333333333,2,,30,2,4,12,0.4166666666666667,9,0.6666666666666666,1,1,0,0.4878048780487805
0021300091,2013-11-09,1610612763,1610612744,108,90,96,96,MEM,GSW,Regular Season,2013-14,1610612763,Klay Thompson,28.4333333333333,1,,12,,3,5,0.6,8,0.25,2,0,0,0.6097560975609756
0021300082,2013-11-08,1610612759,1610612744,76,74,89,88,SAS,GSW,Regular Season,2013-14,1610612759,Klay Thompson,39.45,1,3,11,,4,11,0.36363636363636365,5,0.2,2,0,0,0.7560975609756098
0021300154,2013-11-18,1610612762,1610612744,87,98,94,93,UTA,GSW,Regular Season,2013-14,1610612744,Klay Thompson,41.3333333333333,5,1,17,2,2,10,0.3,7,0.42857142857142855,,1,0,0.3048780487804878
0021300186,2013-11-22,1610612747,1610612744,102,95,96,95,LAL,GSW,Regular Season,2013-14,1610612747,Klay Thompson,41.2333333333333,3,2,19,3,2,10,0.2,10,0.4,3,0,0,0.32926829268292684
0021300225,2013-11-27,1610612742,1610612744,103,99,95,95,DAL,GSW,Regular Season,2013-14,1610612742,Klay Thompson,37.8666666666667,10,4,20,7,2,7,0.2857142857142857,9,0.3333333333333333,2,0,0,0.5975609756097561
0021300214,2013-11-26,1610612740,1610612744,101,102,92,92,NOP,GSW,Regular Season,2013-14,1610612744,Klay Thompson,42.9166666666667,5,4,22,3,1,12,0.4166666666666667,6,0.5,8,1,0,0.4146341463414634
