GameId,Date,HomeTeamId,AwayTeamId,HomePoints,AwayPoints,HomePossessions,AwayPossessions,HomeTeamAbbreviation,AwayTeamAbbreviation,season_type,season,winner_id,Name,Minutes,Rebounds,Turnovers,Points,FtPoints,Fouls,FG2A,Fg2Pct,FG3A,Fg3Pct,Assists,outcome,is_home,opponent_rate
0021900556,2020-01-08,1610612754,1610612748,108,122,96,96,IND,MIA,Regular Season,2019-20,1610612748,Tyler Herro,25.7333333333333,7,2,19,,1,8,0.25,8,0.625,2,1,0,0.6164383561643836
0021900568,2020-01-10,1610612751,1610612748,117,113,98,98,BKN,MIA,Regular Season,2019-20,1610612751,Tyler Herro,29.3333333333333,5,,9,,1,5,0.6,4,0.25,4,0,0,0.4861111111111111
0021900584,2020-01-12,1610612752,1610612748,124,121,94,94,NYK,MIA,Regular Season,2019-20,1610612752,Tyler Herro,21.9166666666667,4,,15,2,3,4,0.5,8,0.375,1,0,0,0.3181818181818182
0021900623,2020-01-17,1610612760,1610612748,108,115,94,94,OKC,MIA,Regular Season,2019-20,1610612748,,,,,,,,,,,,,1,0,0.6111111111111112
0021900637,2020-01-19,1610612759,1610612748,107,102,93,93,SAS,MIA,Regular Season,2019-20,1610612759,Tyler Herro,8.98333333333333,1,,,,2,2,,,,1,0,0,0.4507042253521127
0021900729,2020-02-01,1610612753,1610612748,89,102,89,89,ORL,MIA,Regular Season,2019-20,1610612748,Tyler Herro,26,3,,23,3,2,2,0.5,10,0.6,,1,0,0.4520547945205479
0021900763,2020-02-05,1610612746,1610612748,128,111,99,99,LAC,MIA,Regular Season,2019-20,1610612746,,,,,,,,,,,,,0,0,0.6805555555555556
0021900775,2020-02-07,1610612758,1610612748,105,97,94,94,SAC,MIA,Regular Season,2019-20,1610612758,,,,,,,,,,,,,0,0,0.4305555555555556
0021900792,2020-02-09,1610612757,1610612748,115,109,101,100,POR,MIA,Regular Season,2019-20,1610612757,,,,,,,,,,,,,0,0,0.47297297297297297
0021900800,2020-02-10,1610612744,1610612748,101,113,98,99,GSW,MIA,Regular Season,2019-20,1610612748,,,,,,,,,,,,,1,0,0.23076923076923078
0021900816,2020-02-12,1610612762,1610612748,116,101,99,98,UTA,MIA,Regular Season,2019-20,1610612762,,,,,,,,,,,,,0,0,0.6111111111111112
0021900821,2020-02-20,1610612737,1610612748,129,124,109,108,ATL,MIA,Regular Season,2019-20,1610612737,,,,,,,,,,,,,0,0,0.29850746268656714
0021900849,2020-02-24,1610612739,1610612748,125,119,107,106,CLE,MIA,Regular Season,2019-20,1610612739,,,,,,,,,,,,,0,0,0.2923076923076923
0022000814,2021-04-11,1610612757,1610612748,98,107,95,94,POR,MIA,Regular Season,2020-21,1610612748,Tyler Herro,30.0333333333333,7,1,14,1,,9,0.5555555555555556,2,0.5,3,1,0,0.5833333333333334
0022000838,2021-04-14,1610612743,1610612748,123,106,90,89,DEN,MIA,Regular Season,2020-21,1610612743,Tyler Herro,26.65,4,,5,,,5,0.2,5,0.2,6,0,0,0.6527777777777778
0022000827,2021-04-13,1610612756,1610612748,106,86,97,97,PHX,MIA,Regular Season,2020-21,1610612756,Tyler Herro,27.3,2,3,10,,,8,0.625,3,,,0,0,0.7083333333333334
